pvName,cvTag,relationship
AT_06022,,
FT_05415,,
FT_05416,,
FT_05603,,
FT_06045,FC_06044.Val_CVOut,direct
FT_07002,,
FT_71102,,
IT_01696,,
IT_07009,,
IT_07011,,
IT_99506,,
JT_06001,,
LIT_05516,,
LIT_05517,,
LIT_06027,,
LIT_06028,,
LT_01652,,
LT_01752,,
LT_05521,,
LT_05717,,
LT_06002,,
LT_06007,,
LT_06025,,
LT_V1801_LVL_ROC,,
PDT_05440,,
PDT_05441,,
PDT_07005,,
PDT_07007,,
PDT_95005,,
PIT_05620,,
PIT_07003,,
PIT_07014,,
PIT_NaOH_HDR_PRESS_PRB,,
PT_05117,,
PT_05118,,
PT_05132,,
PT_05133,,
PT_05360,,
PT_05361,,
PT_06016,,
PT_06046,PMP_06001.Val_SpeedRef,direct
TT_00187,,
TT_01674,,
TT_01680,,
TT_01781,,
TT_05115,,
TT_05124,,
TT_05125,,
TT_05128,,
TT_05355,,
TT_05356,,
TT_06020,,
